"month(e.created_at)","Location"
7,POINT(22.01758 50.023260666667)
7,POINT(22.003474666667 50.036178)
7,POINT(22.0092395 50.029586833333)
7,POINT(22.0134355 50.027958833333)
7,POINT(22.0048025 50.021813166667)
7,POINT(21.998591 50.0409335)
7,POINT(22.0060225 50.024569833333)
7,POINT(22.004934 50.0265325)
7,POINT(22.017475333333 50.0231175)
7,POINT(22.004051833333 50.037084833333)
7,POINT(22.0034705 50.036771833333)
7,POINT(22.004791333333 50.021823)
7,POINT(21.9989635 50.041717666667)
7,POINT(21.999046666667 50.040000833333)
7,POINT(22.014093833333 50.033881666667)
7,POINT(22.005325833333 50.037622166667)
7,POINT(22.004780666667 50.033339333333)
7,POINT(21.998872666667 50.035519333333)
7,POINT(21.997593 50.0352525)
7,POINT(21.9942285 50.038041833333)
7,POINT(21.99935 50.04715)
7,POINT(21.994236333333 50.0381045)
7,POINT(21.994196 50.0381745)
7,POINT(21.994169166667 50.038236)
7,POINT(21.998953833333 50.039891833333)
7,POINT(22.000618 50.029728833333)
7,POINT(22.002704666667 50.039241833333)
7,POINT(22.006047 50.024565166667)
7,POINT(21.998926833333 50.039875333333)
7,POINT(21.998868666667 50.039865)
7,POINT(21.998841666667 50.039845833333)
7,POINT(21.998962666667 50.039889833333)
7,POINT(22.002366 50.037657)
7,POINT(22.017422333333 50.0230205)
7,POINT(21.994879 50.0377015)
7,POINT(22.012281166667 50.019045333333)
7,POINT(22.009529833333 50.036676333333)
7,POINT(21.995554666667 50.0233595)
7,POINT(22.003490333333 50.0313525)
7,POINT(22.014010166667 50.033954333333)
7,POINT(22.003529166667 50.031397333333)
7,POINT(22.003144166667 50.033738666667)
7,POINT(22.011899833333 50.0349655)
7,POINT(22.0113945 50.03524)
7,POINT(22.003497833333 50.031377333333)
7,POINT(22.003560166667 50.0314025)
7,POINT(21.999579 50.032558666667)
7,POINT(22.009115 50.0295575)
7,POINT(22.009063666667 50.029551166667)
7,POINT(22.003595333333 50.036097333333)
7,POINT(21.9955345 50.023341833333)
7,POINT(21.9955345 50.023341833333)
7,POINT(21.995573333333 50.023361333333)
7,POINT(22.001033833333 50.024294833333)
7,POINT(21.994400166667 50.022026333333)
7,POINT(22.009151666667 50.029598333333)
7,POINT(22.007276666667 50.0285025)
7,POINT(22.009647666667 50.029588666667)
7,POINT(22.007576 50.0374395)
7,POINT(22.004669666667 50.037432166667)
7,POINT(21.9974975 50.038641)
7,POINT(21.996941333333 50.0389285)
7,POINT(22.004628833333 50.037432)
7,POINT(22.004645166667 50.037403333333)
7,POINT(22.0046545 50.0374165)
7,POINT(22.0046545 50.037402166667)
7,POINT(22.009418166667 50.030008666667)
7,POINT(22.001594333333 50.0377495)
7,POINT(22.001633166667 50.03789)
7,POINT(21.996992166667 50.038947666667)
7,POINT(22.002392833333 50.0398585)
7,POINT(22.0024495 50.040409833333)
7,POINT(22.002419833333 50.040505166667)
7,POINT(22.0023855 50.039869)
7,POINT(22.015945 50.027624166667)
7,POINT(22.015310833333 50.027886833333)
7,POINT(22.006042 50.024551833333)
7,POINT(22.004922166667 50.030616166667)
7,POINT(22.004824333333 50.032557166667)
7,POINT(22.002846166667 50.037878333333)
7,POINT(22.004937833333 50.030598666667)
7,POINT(22.004275666667 50.0303035)
7,POINT(22.014258166667 50.038839833333)
7,POINT(22.016504 50.027177333333)
7,POINT(22.003865166667 50.036575)
7,POINT(22.015639333333 50.028183333333)
7,POINT(22.006332333333 50.037637833333)
7,POINT(22.025023833333 50.038199666667)
7,POINT(22.015161166667 50.028073833333)
7,POINT(22.013391166667 50.0287255)
7,POINT(22.015365166667 50.027991833333)
7,POINT(22.016991333333 50.022672333333)
7,POINT(22.006634166667 50.018404)
7,POINT(22.011790666667 50.018735666667)
7,POINT(22.011812 50.018717166667)
7,POINT(22.013154666667 50.021531)
7,POINT(22.004684 50.030632)
7,POINT(22.006581166667 50.031746166667)
7,POINT(22.005054833333 50.030167833333)
7,POINT(22.0173215 50.022852833333)
7,POINT(21.991433 50.024551)
7,POINT(21.999046833333 50.047327)
7,POINT(21.999194666667 50.047326666667)
7,POINT(22.007376333333 50.028722)
7,POINT(21.9992475 50.047191833333)
7,POINT(22.000405 50.0450385)
7,POINT(21.991273666667 50.024442666667)
7,POINT(21.990557833333 50.0236585)
7,POINT(22.002757 50.0375375)
7,POINT(21.996426166667 50.038928166667)
7,POINT(22.002703666667 50.038211166667)
7,POINT(22.022226833333 50.038043833333)
7,POINT(22.017792166667 50.022293166667)
7,POINT(22.019377166667 50.020218333333)
7,POINT(22.014254333333 50.038845666667)
7,POINT(22.013848333333 50.038891833333)
7,POINT(21.999611333333 50.031919333333)
7,POINT(22.015646166667 50.026720666667)
7,POINT(22.017066166667 50.012717666667)
7,POINT(21.994788333333 50.0378545)
7,POINT(21.9964195 50.039336166667)
7,POINT(21.995961666667 50.0389165)
7,POINT(22.012634833333 50.027363666667)
7,POINT(21.99473 50.037843666667)
7,POINT(22.0142405 50.038837833333)
7,POINT(22.012046166667 50.018859333333)
7,POINT(21.9914275 50.024545833333)
7,POINT(22.013309833333 50.0277465)
7,POINT(22.022236333333 50.037987833333)
7,POINT(22.013916833333 50.027545666667)
7,POINT(22.004814333333 50.030703)
7,POINT(21.996115833333 50.038937333333)
7,POINT(22.0026175 50.039716833333)
7,POINT(22.0049155 50.030698666667)
7,POINT(22.004823 50.030660166667)
7,POINT(22.004632333333 50.030463166667)
7,POINT(22.004761 50.030545166667)
7,POINT(22.017831666667 50.0193675)
7,POINT(22.017341 50.0228295)
7,POINT(22.017344666667 50.0228665)
7,POINT(22.004943166667 50.030275666667)
7,POINT(22.018033166667 50.023080166667)
7,POINT(22.017775833333 50.019395166667)
7,POINT(21.994189333333 50.038057333333)
7,POINT(22.017336666667 50.022968166667)
7,POINT(21.993956833333 50.0381965)
7,POINT(22.016299333333 50.030582)
7,POINT(22.008284333333 50.0394945)
7,POINT(22.017696833333 50.019576666667)
7,POINT(22.017733666667 50.019354666667)
7,POINT(21.995564666667 50.0234595)
7,POINT(22.01294 50.0280665)
7,POINT(21.995387166667 50.0384895)
7,POINT(22.0185685 50.019368833333)
7,POINT(22.005082 50.033607166667)
7,POINT(22.012997333333 50.028079833333)
7,POINT(22.013177166667 50.028062166667)
7,POINT(22.001002166667 50.036513833333)
7,POINT(22.016891833333 50.023265833333)
7,POINT(22.016891833333 50.023265833333)
7,POINT(22.012686 50.019136333333)
7,POINT(21.9963785 50.0392905)
7,POINT(22.009749 50.037779666667)
7,POINT(21.998687666667 50.041639666667)
7,POINT(22.017532833333 50.019496)
7,POINT(22.012566666667 50.019117833333)
7,POINT(22.012586666667 50.019116333333)
7,POINT(21.9999055 50.0298465)
7,POINT(22.002843833333 50.0384665)
7,POINT(22.0027655 50.038463)
7,POINT(21.996372166667 50.039262166667)
7,POINT(21.999496 50.041565833333)
7,POINT(21.996360166667 50.039288833333)
7,POINT(22.022563833333 50.0381385)
7,POINT(22.0101185 50.036379666667)
7,POINT(21.998570833333 50.034448666667)
7,POINT(22.017398 50.023059833333)
7,POINT(22.014387833333 50.027075666667)
7,POINT(22.012749833333 50.019062333333)
7,POINT(21.998431833333 50.034401)
7,POINT(22.004996 50.037250833333)
7,POINT(22.015855333333 50.026770666667)
7,POINT(21.998087833333 50.037100333333)
7,POINT(21.9978775 50.037171833333)
7,POINT(22.004986833333 50.0371785)
7,POINT(22.012731666667 50.019049)
7,POINT(22.012723666667 50.019084666667)
7,POINT(21.994522333333 50.037711166667)
7,POINT(21.99458 50.037710166667)
7,POINT(21.995559666667 50.0233775)
7,POINT(22.004990666667 50.033138)
7,POINT(22.016986 50.0365545)
7,POINT(22.012786666667 50.019045)
7,POINT(22.017479333333 50.019523)
7,POINT(22.012776166667 50.019112666667)
7,POINT(21.994527166667 50.037726)
7,POINT(21.992785833333 50.010432833333)
7,POINT(21.993606 50.020078333333)
7,POINT(22.001534666667 50.037249833333)
7,POINT(22.0173625 50.019434833333)
7,POINT(21.995878666667 50.023501666667)
7,POINT(22.0060075 50.0248195)
7,POINT(22.0131835 50.0190925)
7,POINT(22.016938166667 50.0364845)
7,POINT(21.995599833333 50.023316666667)
7,POINT(21.995714333333 50.0234585)
7,POINT(22.017422833333 50.019453333333)
7,POINT(21.999287666667 50.0471295)
7,POINT(22.017435 50.019480666667)
7,POINT(22.0175295 50.019544666667)
7,POINT(22.016416833333 50.021661833333)
7,POINT(22.0035825 50.031280833333)
7,POINT(22.003658333333 50.031401166667)
7,POINT(22.003586333333 50.031288)
7,POINT(22.004698333333 50.030685666667)
7,POINT(22.003610666667 50.031247333333)
7,POINT(22.003632166667 50.0312655)
7,POINT(22.00234 50.033195666667)
7,POINT(22.004857666667 50.033237166667)
7,POINT(22.003659333333 50.031265333333)
7,POINT(22.003588666667 50.031242666667)
7,POINT(22.003631833333 50.031280166667)
7,POINT(21.995548333333 50.023068333333)
7,POINT(21.995532833333 50.023045833333)
7,POINT(22.0174585 50.022912333333)
7,POINT(22.018477833333 50.019356833333)
7,POINT(22.004930666667 50.030605)
7,POINT(22.015641166667 50.027134333333)
7,POINT(22.009525166667 50.027935666667)
7,POINT(22.009525166667 50.027935666667)
7,POINT(22.013111166667 50.0264815)
7,POINT(21.996660166667 50.023491666667)
7,POINT(22.000954666667 50.035991666667)
7,POINT(22.000894166667 50.035961333333)
7,POINT(22.0009145 50.035996333333)
7,POINT(22.003652 50.031281666667)
7,POINT(22.003643666667 50.031290833333)
7,POINT(21.996747166667 50.023506)
7,POINT(22.017524 50.0195995)
7,POINT(22.019180833333 50.028156333333)
7,POINT(22.0175815 50.019673333333)
7,POINT(22.019205 50.028060166667)
7,POINT(22.017415833333 50.022926)
7,POINT(22.003753 50.031310666667)
7,POINT(22.002696666667 50.039517833333)
7,POINT(21.994044833333 50.039945166667)
7,POINT(21.994022833333 50.039987166667)
7,POINT(21.994049166667 50.039921666667)
7,POINT(22.004618 50.03065)
7,POINT(22.004686833333 50.030664)
7,POINT(22.004980166667 50.030609166667)
7,POINT(22.004919 50.030611166667)
7,POINT(21.996671166667 50.023480333333)
7,POINT(22.017099166667 50.023025166667)
7,POINT(21.997679333333 50.035946666667)
7,POINT(21.982389333333 50.0193055)
7,POINT(21.985659 50.022982333333)
7,POINT(21.999285333333 50.047060666667)
7,POINT(21.99931 50.047024833333)
7,POINT(21.9739135 50.0251535)
7,POINT(21.976079 50.0275715)
7,POINT(22.017561166667 50.019381333333)
7,POINT(21.9928895 50.038395833333)
7,POINT(21.995525833333 50.023193833333)
7,POINT(21.991923 50.032190666667)
7,POINT(21.996676166667 50.023475)
7,POINT(22.016817833333 50.026388166667)
7,POINT(21.996833166667 50.035987)
7,POINT(22.015538333333 50.027266)
7,POINT(22.013848833333 50.018689333333)
7,POINT(22.0047375 50.033310666667)
7,POINT(22.0231595 50.029750166667)
7,POINT(22.010029166667 50.0395155)
7,POINT(21.995946333333 50.038872)
7,POINT(22.014384333333 50.038791333333)
7,POINT(22.003213333333 50.038367)
7,POINT(22.004016833333 50.0346)
7,POINT(22.009253166667 50.041373)
7,POINT(22.013789666667 50.0273945)
7,POINT(22.013310166667 50.026650333333)
7,POINT(22.0033295 50.038107)
7,POINT(22.0071695 50.040147166667)
7,POINT(22.016481166667 50.030687166667)
7,POINT(21.996744333333 50.023506333333)
7,POINT(22.002400333333 50.037955833333)
7,POINT(22.0171445 50.030223166667)
7,POINT(22.017436333333 50.023017166667)
7,POINT(22.012145166667 50.046454166667)
7,POINT(22.0175685 50.01959)
7,POINT(22.002356666667 50.0380885)
7,POINT(21.995959333333 50.038828833333)
7,POINT(22.016237833333 50.032645166667)
7,POINT(21.999219833333 50.047296)
7,POINT(22.009896666667 50.039213)
7,POINT(22.017410166667 50.019558166667)
7,POINT(22.013973833333 50.027629666667)
7,POINT(22.005172666667 50.039576)
7,POINT(22.013561666667 50.018957833333)
7,POINT(22.011009166667 50.039175333333)
7,POINT(22.013521166667 50.019078166667)
7,POINT(21.996609666667 50.0234785)
7,POINT(21.9947025 50.038357833333)
7,POINT(22.016571666667 50.026443333333)
7,POINT(22.003659333333 50.031361)
7,POINT(22.003659333333 50.031361)
